<http://dbpedia.org/ontology/Company>,other_company large_company small_company business whole_company company big_company major_company said_company large_corporation new_company
<http://dbpedia.org/ontology/Animal>,wild_animal farm_animal live_animal single_animal domesticated_animal other_animals animals animal other_animal living_animal living_creature
<http://dbpedia.org/ontology/Athlete>,great_athlete elite_athlete athlete world_class_athlete athelete pro_athlete high_school_athlete college_athlete professional_athlete good_athlete football_player
<http://dbpedia.org/ontology/AustralianRulesFootballPlayer>,
<http://dbpedia.org/ontology/Person>,certain_person person other_person said_person specific_person individual particular_person somebody he/she someone _person
<http://dbpedia.org/ontology/Governor>,new_governor congressman governors president governor legislator governorship governer senator current_governor state_legislature
<http://dbpedia.org/ontology/Software>,other_software own_software custom_software software/hardware hardware/software specific_software new_software software hardware most_software actual_software
<http://dbpedia.org/ontology/Single>,single
<http://dbpedia.org/ontology/AdministrativeRegion>,
<http://dbpedia.org/ontology/Building>,building large_building buildings several_buildings other_building other_buildings top_floor whole_building office_building small_building entire_building
<http://dbpedia.org/ontology/AutoRacingLeague>,
<http://dbpedia.org/ontology/ChristianBishop>,
<http://dbpedia.org/ontology/Cleric>,sorceror monk rogue clerics paladin barbarian sorcerer cleric bard necromancer spellcaster
<http://dbpedia.org/ontology/Weapon>,other_weapons second_weapon multiple_weapons other_weapon main_weapon particular_weapon weapon actual_weapon melee_weapon secondary_weapon primary_weapon
<http://dbpedia.org/ontology/Device>,single_device devices particular_device specific_device second_device other_devices other_device first_device device many_devices external_device
<http://dbpedia.org/ontology/Cyclist>,cager pedestrian bike_rider motorcyclist bicyclist car_driver motorcyclists motorist cyclist cyclists van_driver
<http://dbpedia.org/ontology/Species>,own_species single_species many_species animal_species whole_species evolutionary_history other_species human_species organisms sentient_species species
<http://dbpedia.org/ontology/Tunnel>,tunnel corridor long_tunnel
<http://dbpedia.org/ontology/AnatomicalStructure>,anatomical_structure
<http://dbpedia.org/ontology/Stream>,whole_stream vod entire_stream own_stream twitch_stream vods twitch_channel streams twitch stream other_stream
<http://dbpedia.org/ontology/Station>,stations other_station station different_station
<http://dbpedia.org/ontology/Aircraft>,airliner aircrafts airframe aircraft fixed-wing_aircraft modern_aircraft airliners other_aircraft commercial_aircraft fighter_aircraft military_aircraft
<http://dbpedia.org/ontology/Fungus>,mealy_bugs biofilm fungal_infections mites microbes fungus nematodes pollen bacteria fungi fungal_spores
<http://dbpedia.org/ontology/Election>,elections election last_election reelection next_election general_elections election_cycle presidential_election re-election general_election first_election
<http://dbpedia.org/ontology/Mammal>,other_mammal most_mammals rodent insect platypus carnivorous mammals other_animal species primate mammal
<http://dbpedia.org/ontology/Criminal>,violent_criminal actual_criminal criminal serious_crime innocent_person police_officer criminals corrupt_cop felon murderer perp
<http://dbpedia.org/ontology/Project>,projects project big_project new_project particular_project own_project entire_project small_project whole_project current_project other_project
<http://dbpedia.org/ontology/Website>,site main_website web_site main_site homepage actual_website own_website webpage other_website website official_site
<http://dbpedia.org/ontology/Mountain>,mountains hills mountain_top mountain_side lake dunes mountainside large_mountain mountain canyon small_mountain
<http://dbpedia.org/ontology/Bridge>,first_bridge bridge second_bridge
<http://dbpedia.org/ontology/AustralianFootballLeague>,
<http://dbpedia.org/ontology/LacrosseLeague>,
<http://dbpedia.org/ontology/ClubMoss>,
<http://dbpedia.org/ontology/EducationalInstitution>,public_institution educational_institution institution public_university
<http://dbpedia.org/ontology/Artist>,other_artist artist real_artist good_artist original_artist actual_artist great_artist particular_artist
<http://dbpedia.org/ontology/Monument>,monuments monument memorial
<http://dbpedia.org/ontology/Disease>,common_cold various_diseases other_disease many_diseases other_diseases serious_disease disease diseases particular_disease illnesses deadly_disease
<http://dbpedia.org/ontology/InlineHockeyLeague>,
<http://dbpedia.org/ontology/Musical>,musical musicals
<http://dbpedia.org/ontology/FieldHockeyLeague>,
<http://dbpedia.org/ontology/Artery>,carotid femoral_artery artery trachea major_artery spinal_column carotid_artery clot aorta spleen spinal_cord
<http://dbpedia.org/ontology/Senator>,vice_president state_senator congressman senators president legislator governor lawmaker state_representative presidential_candidate senator
<http://dbpedia.org/ontology/Currency>,fiat_currency new_currency currencies other_currency fiat_money actual_currency currency hard_currency denominated fiat other_currencies
<http://dbpedia.org/ontology/BadmintonPlayer>,
<http://dbpedia.org/ontology/Activity>,activity other_activity
<http://dbpedia.org/ontology/Language>,own_language idioms language other_language other_languages different_language languages langauge particular_language real_language spoken_language
<http://dbpedia.org/ontology/Rocket>,rockets payload rocket other_rockets missile torpedo own_rocket warhead missle first_rocket launch_pad
<http://dbpedia.org/ontology/Airline>,airlines other_airline other_airlines airline_company most_airlines particular_airline airline
<http://dbpedia.org/ontology/MusicalWork>,musical_work
<http://dbpedia.org/ontology/Olympics>,olympics winter_olympics
<http://dbpedia.org/ontology/Library>,library
