superpattern 	subpattern 	confidence
3714	986213	0.0010
455759	1199781	0.096
107005	1051760	0.042
395054	1110167	0.208
1080172	370586	0.208
1622933	2447	0.15
1217183	407163	0.15
29978	120723	0.0090
755	46929	0.0050
1255069	1608153	0.15
1477059	16428	0.15
281618	571132	0.208
33253	24713	0.0010
220190	127848	0.021
1197568	920652	0.208
69384	19533	0.0070
48827	1250010	0.014
983436	156066	0.15
115711	29170	0.0040
32448	66198	0.096
1211952	1132435	0.15
316436	1078544	0.096
59178	490705	0.0070
1561558	907041	0.096
848949	306342	0.208
57141	12705	0.0
1083059	156433	0.208
14316	863	0.01
370905	6807	0.208
16097	53342	0.0
6622	1107908	0.056
1213102	4490	0.15
1622933	2433	0.301
203397	106024	0.15
26159	125667	0.031
359013	916968	0.117
240739	411715	0.208
776651	987626	0.037
73487	98683	0.037
111749	36540	0.011
1132644	1213038	0.208
65698	1287659	0.0020
1500411	1534	0.208
509210	1395200	0.208
9697	10759	0.0010
1114304	1023949	0.301
28239	863	0.167
1082910	982759	0.208
117107	58291	0.062
1132494	1319398	0.208
983392	258032	0.15
146267	6179	0.044
335	78831	0.0
1498844	1303920	0.208
1479068	32528	0.117
255283	51290	0.101
103065	283096	0.02
1160275	3614	0.096
25635	71374	0.024
1451708	1469922	0.15
745149	152059	0.301
25185	8267	0.0020
933644	71267	0.231
1080173	370663	0.208
817059	70677	0.208
239065	412381	0.208
842158	4464	0.208
1354716	1275512	0.208
1608133	1255002	0.15
190850	1262061	0.208
24609	875577	0.0010
663055	797354	0.15
1214439	252035	0.0050
933638	406890	0.117
13483	57183	0.0
590687	429183	0.231
277119	162385	0.03
95669	1315400	0.0010
33244	1272960	0.0010
35128	34657	0.098
1078505	316389	0.117
72029	315581	0.063
1288081	1123604	0.208
109051	1319540	0.018
650943	84397	0.208
424238	209114	0.056
348600	406677	0.208
250711	291751	0.208
791895	1608114	0.208
1114610	1254981	0.15
237914	204834	0.096
272714	113558	0.15
40898	122345	0.0
42591	1379602	0.015
237910	34202	0.3
6894	13478	0.0010
148411	3693	0.061
16161	84080	0.188
932536	1504	0.071
1508060	1233617	0.208
1394979	1080169	0.15
16455	56141	0.0030
672329	790013	0.15
336	30399	0.0
16397	1110552	0.0020
1229196	1468716	0.208
580126	1303905	0.208
1134735	37276	0.208
1079841	983292	0.208
1195829	173227	0.208
1197	467883	0.0050
1612484	156976	0.15
51295	250687	0.0060
16097	53388	0.0
1328511	1122402	0.15
476510	1172035	0.063
1143056	1260277	0.208
16393	394	0.0020
745161	1471726	0.15
1487332	1275497	0.208
920553	650937	0.208
844386	1150699	0.208
28201	33244	0.0010
113559	1255067	0.019
130377	96887	0.0060
393340	48203	0.25
95643	183558	0.0010
1053124	661076	0.301
90530	829953	0.02
1422534	1504704	0.15
1340	454324	0.037
864	440817	0.0
1595578	1097891	0.208
117108	864	0.074
364913	1513418	0.208
4003	1476195	0.0080
10185	24553	0.0
250637	370249	0.208
1196	801570	0.0030
10154	1143364	0.0
540251	1211927	0.231
1894	16403	0.0060
1069023	288029	0.208
1263652	678765	0.208
1197718	986206	0.208
1082780	1863	0.208
50620	27776	0.0010
177028	168957	0.096
183565	1175145	0.301
37242	58624	0.026
4458	76946	0.0
697628	1214892	0.15
1181338	1412598	0.117
1542164	1354038	0.15
1471641	2473	0.208
1083081	156530	0.208
1595737	35604	0.15
9315	121724	0.011
26362	106884	0.015
26767	28337	0.0020
209039	34510	0.15
4135	2462	0.011
244509	181893	0.117
1468775	1391147	0.208
29367	1066041	0.0040
1096303	1321623	0.208
792067	1083135	0.208
1334551	1592292	0.231
58759	189755	0.0050
59200	157803	0.043
385551	67607	0.208
982662	156094	0.15
8607	507055	0.063
16455	1186082	0.0
631940	1583978	0.117
78413	648795	0.015
1414472	1414605	0.208
1222464	25683	0.117
1507401	75136	0.208
4284	639372	0.108
664425	790000	0.208
1217274	407161	0.231
91084	61574	0.02
446065	118512	0.158
867632	996439	0.15
1197	407102	0.0050
8270	21107	0.0010
608950	778959	0.117
17193	16097	0.0050
406911	714244	0.208
754374	1451221	0.051
1024162	1114317	0.158
406411	707749	0.208
634859	72672	0.208
19532	1241551	0.0010
306318	1558138	0.208
347124	664914	0.208
19496	884287	0.0
28093	1497	0.011
680405	77571	0.011
31466	1564365	0.03
25576	71377	0.02
422872	220775	0.027
6179	133085	0.0
15104	864	0.011
400179	586803	0.208
650	1558211	0.0070
1622900	725621	0.301
778935	608720	0.15
278264	509213	0.01
69725	50254	0.0
671952	920694	0.15
653209	11935	0.208
1233052	121726	0.012
112788	1111551	0.056
1107907	6625	0.208
1058314	1224576	0.15
775680	532952	0.07
110368	1321117	0.089
59186	1141575	0.035
30947	978155	0.051
668895	9112	0.15
56996	15108	0.012
370977	1395105	0.15
830848	797893	0.096
582984	919494	0.208
915136	1252073	0.301
71552	71350	0.0010
641087	1527522	0.15
156089	1611396	0.208
16096	136461	0.0
1428335	18551	0.208
1197562	672326	0.208
961221	103437	0.208
1469575	1228945	0.208
1172	97027	0.01
808729	66871	0.208
1186081	56136	0.0010
207163	1230546	0.15
6786	370929	0.108
1395154	4154	0.15
28337	1580783	0.0010
3625	262485	0.0080
512447	4132	0.208
509781	259580	0.208
1513409	364922	0.15
14422	51294	0.135
210635	149866	0.208
982603	156445	0.208
1130346	640932	0.208
2132	3944	0.0
1666	130186	0.0
218751	823636	0.208
983283	157159	0.15
50782	844253	0.034
107786	483662	0.027
1197568	1354395	0.208
344869	1090909	0.117
263348	537632	0.208
45634	89218	0.01
47458	25635	0.0040
1104006	22668	0.067
785756	1354734	0.117
1414472	1414675	0.208
55930	675451	0.0030
1214819	1371296	0.15
18332	6179	0.0040
50654	26818	0.0020
56360	56140	0.063
914962	1249186	0.15
1110534	71639	0.0010
162603	462396	0.15
33111	59597	0.163
641095	4221	0.15
370493	60610	0.094
136268	1291959	0.083
1498855	118785	0.208
399418	428746	0.15
775427	24357	0.208
1197600	672290	0.208
264461	262039	0.436
56571	9781	0.0010
1338881	225347	0.15
1189125	1461151	0.117
156454	1083065	0.208
1595620	1097187	0.208
263832	95866	0.096
47452	71352	0.0010
6797	1395130	0.056
791886	1082718	0.208
640743	1387881	0.301
1587301	85327	0.208
2450	996467	0.0010
42869	19534	0.01
59274	157587	0.027
608556	778896	0.117
239145	412244	0.208
1197548	986193	0.208
724699	125666	0.042
315655	1079098	0.096
412274	239158	0.208
97021	406941	0.0070
53521	46006	0.018
48091	730128	0.0020
59278	635599	0.032
986176	690112	0.117
1401045	1571778	0.117
10165	32737	0.0
509589	259631	0.208
1395100	4179	0.15
858201	284015	0.208
642451	847554	0.063
1197	791802	0.0050
1092511	9141	0.208
1547570	1095937	0.15
47452	175687	0.0
678731	1263732	0.15
237028	1272078	0.117
1212028	1371378	0.208
3076	566582	0.0070
1082721	157146	0.208
277075	1592811	0.15
384170	508368	0.208
121344	115738	0.0080
104163	1228909	0.0040
71550	71392	0.0010
537848	974155	0.208
27911	32718	0.0030
37206	214775	0.063
104151	1424577	0.0040
1233055	9310	0.048
80481	40777	0.0070
1483792	448443	0.208
1181366	1412595	0.15
122403	918051	0.083
95640	723768	0.0010
1228925	1468867	0.208
83506	1132581	0.071
59761	394811	0.0050
1026	124443	0.0030
335	9760	0.0010
757177	1398986	0.117
537531	257908	0.208
16428	14955	0.0
1132447	1319302	0.208
1418	1500793	0.083
36875	1047564	0.0040
1255325	1610542	0.15
82355	227381	0.02
1197719	1395121	0.208
136296	1291936	0.083
1294026	262644	0.208
1608721	833591	0.208
459703	1130245	0.15
8060	573235	0.071
1079101	277254	0.117
1110501	395083	0.208
1082971	791911	0.208
1612606	156996	0.15
123905	56139	0.042
983228	1079756	0.15
1489355	710193	0.208
15050	16096	0.011
313310	1053	0.208
885	1498783	0.027
30829	165321	0.0010
587499	1865	0.208
1603276	124398	0.208
863	15596	0.0
56541	15104	0.0030
77978	43914	0.0050
749000	17975	0.15
648526	991202	0.055
1691	1303905	0.024
1527527	428760	0.117
1354707	1197544	0.208
1595649	1097156	0.208
1130317	403848	0.208
289513	1319372	0.117
1078509	277114	0.117
263973	986208	0.208
5717	814640	0.098
422314	43251	0.208
335	54082	0.0
8494	1600523	0.083
288364	34435	0.15
858646	4273	0.15
1186082	6896	0.0010
467894	1192	0.096
1272107	237063	0.208
644487	960640	0.15
6179	58326	0.0010
53388	16097	0.014
1287677	25144	0.062
3772	1194291	0.047
428768	790053	0.027
10640	1077536	0.0010
264374	107007	0.208
914963	1249139	0.301
478045	1104654	0.208
83659	27621	0.038
407107	1217116	0.15
944981	56139	0.208
256404	396422	0.0010
586799	400596	0.208
982684	257894	0.15
4755	48203	0.0010
1053123	661082	0.301
5800	1082820	0.0040
542499	1531746	0.117
9158	5088	0.096
4152	527180	0.071
756049	324368	0.208
320243	36604	0.208
22426	16393	0.012
219958	306764	0.071
837826	18488	0.208
664822	789889	0.208
89359	54163	0.022
32457	66186	0.071
